id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
192,Sergi Roberto,26,Spain,83,FC Barcelona,26.5,0,20.0,155.0,68.0,85.0,63.0,72.0,86.0,50.0,78.0,78.0,83.0,78.0,69.0,65.0,47.0,85.0,69.0,66.0,68.0,69.0,83.0,57.0
193,Rodrigo,27,Spain,83,Valencia CF,30.5,1,9.0,182.0,77.0,72.0,78.0,80.0,78.0,77.0,82.0,58.0,82.0,88.0,84.0,83.0,78.0,78.0,72.0,76.0,60.0,83.0,74.0,77.0
194,Pizzi,28,Portugal,83,SL Benfica,25.5,0,21.0,155.0,72.0,79.0,76.0,45.0,83.0,77.0,80.0,84.0,82.0,82.0,77.0,75.0,67.0,86.0,59.0,78.0,68.0,84.0,85.0,76.0
195,K. Kampl,27,Slovenia,83,RB Leipzig,26.5,0,44.0,155.0,67.0,72.0,63.0,34.0,84.0,68.0,86.0,79.0,84.0,84.0,91.0,69.0,67.0,88.0,47.0,73.0,64.0,73.0,82.0,64.0
196,Neto,28,Brazil,83,Valencia CF,21.0,0,13.0,192.0,83.0,11.0,15.0,14.0,36.0,12.0,19.0,41.0,24.0,53.0,59.0,28.0,80.0,39.0,63.0,20.0,40.0,11.0,42.0,22.0
197,O. Baumann,28,Germany,83,TSG 1899 Hoffenheim,21.0,0,1.0,188.0,82.0,14.0,11.0,16.0,30.0,11.0,19.0,25.0,17.0,47.0,45.0,21.0,73.0,39.0,69.0,13.0,32.0,10.0,41.0,22.0
198,I. Gueye,28,Senegal,83,Everton,21.0,0,17.0,179.0,66.0,60.0,50.0,69.0,80.0,32.0,75.0,72.0,79.0,76.0,80.0,80.0,87.0,89.0,70.0,66.0,84.0,67.0,67.0,54.0
199,H. Mkhitaryan,29,Armenia,83,Arsenal,25.5,0,7.0,155.0,74.0,77.0,74.0,53.0,80.0,81.0,84.0,71.0,86.0,84.0,87.0,85.0,69.0,83.0,62.0,73.0,69.0,82.0,84.0,72.0
200,Marcos Alonso,27,Spain,83,Chelsea,24.0,1,3.0,188.0,87.0,85.0,68.0,83.0,84.0,70.0,79.0,73.0,83.0,69.0,64.0,84.0,71.0,90.0,76.0,77.0,75.0,79.0,69.0,64.0
201,D. Subašić,33,Croatia,83,AS Monaco,13.0,0,1.0,192.0,83.0,11.0,10.0,13.0,24.0,13.0,11.0,26.0,19.0,51.0,42.0,24.0,75.0,32.0,80.0,14.0,31.0,15.0,52.0,23.0
202,K. Glik,30,Poland,83,AS Monaco,19.0,0,15.0,192.0,79.0,29.0,27.0,85.0,63.0,17.0,51.0,59.0,59.0,50.0,34.0,57.0,81.0,67.0,90.0,20.0,86.0,24.0,23.0,39.0
203,K. Strootman,28,Netherlands,83,Olympique de Marseille,21.0,1,16.0,185.0,79.0,74.0,68.0,68.0,87.0,63.0,75.0,84.0,84.0,65.0,65.0,81.0,53.0,79.0,81.0,70.0,86.0,78.0,79.0,77.0
204,B. Dost,29,Netherlands,83,Sporting CP,26.0,0,28.0,198.0,88.0,38.0,87.0,94.0,73.0,85.0,68.0,37.0,74.0,49.0,32.0,82.0,51.0,82.0,92.0,72.0,70.0,89.0,68.0,88.0
205,Oscar,26,Brazil,83,Shanghai SIPG FC,30.5,0,8.0,155.0,66.0,74.0,76.0,54.0,86.0,63.0,78.0,82.0,84.0,75.0,86.0,80.0,64.0,76.0,38.0,77.0,43.0,79.0,83.0,68.0
206,M. Balotelli,27,Italy,83,OGC Nice,27.5,0,9.0,188.0,87.0,68.0,85.0,67.0,78.0,78.0,81.0,66.0,85.0,76.0,71.0,89.0,74.0,66.0,86.0,79.0,70.0,79.0,74.0,92.0
207,Luiz Gustavo,30,Brazil,83,Olympique de Marseille,19.0,1,19.0,188.0,78.0,63.0,48.0,72.0,79.0,54.0,68.0,77.0,73.0,65.0,65.0,80.0,76.0,85.0,81.0,73.0,88.0,53.0,69.0,58.0
208,Giuliano,28,Brazil,83,Al Nassr,26.0,0,77.0,176.0,68.0,77.0,79.0,59.0,82.0,65.0,84.0,79.0,84.0,85.0,85.0,78.0,61.0,82.0,74.0,76.0,71.0,81.0,80.0,79.0
209,David Luiz,31,Brazil,83,Chelsea,17.5,0,30.0,188.0,86.0,68.0,55.0,81.0,77.0,63.0,66.0,77.0,79.0,59.0,69.0,79.0,78.0,66.0,79.0,73.0,85.0,54.0,69.0,75.0
210,R. Fährmann,29,Germany,83,FC Schalke 04,20.0,0,1.0,201.0,97.0,14.0,11.0,15.0,25.0,11.0,15.0,26.0,24.0,38.0,39.0,24.0,72.0,32.0,79.0,9.0,36.0,11.0,42.0,21.0
211,Juan Mata,30,Spain,83,Manchester United,24.5,1,8.0,173.0,63.0,83.0,78.0,56.0,85.0,71.0,82.0,79.0,88.0,69.0,84.0,75.0,70.0,71.0,37.0,72.0,50.0,83.0,85.0,81.0
212,Adán,31,Spain,83,Atlético Madrid,15.5,1,1.0,192.0,92.0,12.0,11.0,23.0,34.0,15.0,12.0,43.0,15.0,56.0,55.0,25.0,71.0,32.0,77.0,12.0,41.0,11.0,42.0,25.0
213,Rui Patrício,30,Portugal,83,Wolverhampton Wanderers,16.5,1,1.0,192.0,83.0,12.0,12.0,11.0,31.0,17.0,20.0,30.0,23.0,53.0,61.0,38.0,79.0,45.0,77.0,11.0,39.0,13.0,64.0,32.0
214,Y. Sommer,29,Switzerland,83,Borussia Mönchengladbach,20.0,0,1.0,182.0,78.0,13.0,13.0,10.0,40.0,8.0,15.0,31.0,25.0,48.0,55.0,23.0,73.0,45.0,68.0,12.0,38.0,15.0,58.0,24.0
215,Javi Martínez,29,Spain,83,FC Bayern München,20.0,0,8.0,195.0,86.0,60.0,43.0,87.0,77.0,58.0,60.0,74.0,74.0,49.0,53.0,76.0,85.0,74.0,84.0,62.0,90.0,51.0,75.0,52.0
216,L. Bender,29,Germany,83,Bayer 04 Leverkusen,20.0,0,8.0,185.0,81.0,69.0,59.0,78.0,79.0,57.0,72.0,74.0,75.0,66.0,65.0,74.0,77.0,86.0,76.0,71.0,79.0,69.0,76.0,52.0
217,Lucas Leiva,31,Brazil,83,Lazio,17.5,0,6.0,155.0,78.0,63.0,62.0,72.0,82.0,59.0,77.0,81.0,78.0,67.0,78.0,77.0,82.0,80.0,67.0,66.0,80.0,66.0,81.0,61.0
218,S. Mandanda,33,France,83,Olympique de Marseille,13.0,0,16.0,185.0,82.0,14.0,13.0,13.0,37.0,13.0,15.0,28.0,17.0,53.0,52.0,24.0,74.0,31.0,61.0,11.0,37.0,11.0,55.0,11.0
219,Cesc Fàbregas,31,Spain,83,Chelsea,22.0,0,4.0,155.0,77.0,85.0,72.0,74.0,90.0,81.0,79.0,89.0,85.0,56.0,62.0,77.0,63.0,56.0,61.0,70.0,45.0,72.0,91.0,78.0
220,M. Dembélé,30,Belgium,83,Tottenham Hotspur,24.0,1,19.0,185.0,82.0,65.0,66.0,70.0,86.0,73.0,89.0,80.0,89.0,72.0,79.0,81.0,75.0,70.0,89.0,70.0,79.0,70.0,80.0,63.0
221,F. Ribéry,35,France,83,FC Bayern München,11.5,0,7.0,173.0,72.0,80.0,74.0,41.0,83.0,79.0,84.0,74.0,87.0,78.0,84.0,75.0,34.0,58.0,60.0,71.0,51.0,77.0,84.0,78.0
222,R. Jarstein,33,Norway,83,Hertha BSC,13.0,0,1.0,192.0,82.0,18.0,13.0,16.0,34.0,16.0,11.0,34.0,23.0,40.0,35.0,21.0,59.0,31.0,70.0,18.0,34.0,15.0,37.0,13.0
223,D. De Rossi,34,Italy,83,Roma,8.0,0,16.0,182.0,83.0,57.0,50.0,81.0,81.0,74.0,64.0,80.0,77.0,63.0,64.0,81.0,77.0,74.0,81.0,72.0,84.0,55.0,71.0,75.0
224,Pepe Reina,35,Spain,83,Milan,6.0,0,25.0,188.0,92.0,11.0,14.0,13.0,19.0,11.0,10.0,22.0,23.0,50.0,50.0,24.0,73.0,34.0,72.0,15.0,32.0,13.0,65.0,24.0
225,J. Pavlenka,26,Czech Republic,82,SV Werder Bremen,19.5,0,1.0,198.0,81.0,11.0,16.0,14.0,28.0,19.0,12.0,17.0,19.0,35.0,39.0,21.0,36.0,20.0,68.0,17.0,22.0,14.0,25.0,18.0
226,M. de Ligt,18,Netherlands,82,Ajax,27.0,0,3.0,188.0,88.0,57.0,53.0,81.0,75.0,40.0,65.0,72.0,73.0,62.0,56.0,79.0,80.0,74.0,87.0,64.0,79.0,44.0,63.0,40.0
227,Rodri,22,Spain,82,Atlético Madrid,29.0,0,16.0,192.0,82.0,63.0,64.0,75.0,83.0,59.0,77.0,80.0,82.0,70.0,69.0,70.0,69.0,86.0,75.0,76.0,63.0,75.0,83.0,46.0
228,Arthur,21,Brazil,82,FC Barcelona,32.5,0,8.0,173.0,73.0,70.0,72.0,58.0,85.0,63.0,82.0,80.0,83.0,68.0,79.0,76.0,83.0,78.0,62.0,74.0,73.0,77.0,82.0,69.0
229,G. Donnarumma,19,Italy,82,Milan,29.0,0,22.0,198.0,89.0,12.0,12.0,12.0,34.0,8.0,28.0,24.0,28.0,46.0,64.0,24.0,72.0,34.0,72.0,18.0,30.0,14.0,50.0,24.0
230,Rosberto Dourado,30,Brazil,82,Atlético Mineiro,16.5,0,13.0,179.0,69.0,61.0,53.0,70.0,82.0,57.0,77.0,78.0,76.0,80.0,72.0,60.0,43.0,93.0,68.0,59.0,75.0,58.0,77.0,77.0
231,Juiano Mestres,34,Brazil,82,Cruzeiro,6.5,0,3.0,155.0,82.0,40.0,56.0,83.0,67.0,63.0,60.0,58.0,64.0,68.0,61.0,74.0,91.0,76.0,79.0,61.0,86.0,58.0,50.0,62.0
232,Raphaelito Anjos,30,Brazil,82,Grêmio,14.0,0,1.0,192.0,84.0,10.0,8.0,11.0,18.0,8.0,9.0,16.0,21.0,41.0,34.0,21.0,67.0,29.0,79.0,7.0,34.0,27.0,71.0,14.0
233,Gelson Martins,23,Portugal,82,Atlético Madrid,29.5,0,18.0,176.0,72.0,81.0,66.0,51.0,78.0,74.0,85.0,55.0,83.0,95.0,94.0,72.0,65.0,87.0,48.0,69.0,60.0,82.0,79.0,66.0
234,Gonçalo Guedes,21,Portugal,82,Valencia CF,29.0,0,17.0,155.0,68.0,76.0,75.0,60.0,77.0,71.0,86.0,68.0,81.0,89.0,85.0,81.0,65.0,81.0,62.0,77.0,67.0,77.0,77.0,69.0
235,L. Torreira,22,Uruguay,82,Arsenal,25.0,0,14.0,170.0,63.0,74.0,50.0,55.0,83.0,65.0,78.0,77.0,81.0,81.0,83.0,78.0,52.0,85.0,66.0,74.0,85.0,65.0,74.0,48.0
236,Malcom,21,Brazil,82,FC Barcelona,31.5,1,14.0,176.0,73.0,79.0,75.0,57.0,82.0,71.0,85.0,73.0,85.0,87.0,92.0,85.0,58.0,74.0,64.0,85.0,53.0,79.0,83.0,68.0
237,Pau López,23,Spain,82,Real Betis,21.5,1,23.0,188.0,77.0,24.0,19.0,15.0,38.0,17.0,18.0,41.0,16.0,45.0,40.0,21.0,68.0,42.0,52.0,18.0,39.0,20.0,62.0,25.0
238,L. Hernández,22,France,82,Atlético Madrid,25.5,1,21.0,182.0,76.0,78.0,42.0,83.0,80.0,38.0,65.0,63.0,79.0,80.0,70.0,62.0,83.0,82.0,76.0,47.0,86.0,57.0,61.0,34.0
239,C. Lenglet,23,France,82,FC Barcelona,26.0,1,15.0,185.0,81.0,36.0,23.0,78.0,78.0,24.0,60.0,69.0,76.0,72.0,62.0,58.0,79.0,73.0,80.0,35.0,80.0,47.0,60.0,43.0
240,A. Kramarić,27,Croatia,82,TSG 1899 Hoffenheim,26.0,0,27.0,155.0,73.0,75.0,86.0,69.0,79.0,84.0,87.0,53.0,86.0,78.0,82.0,82.0,69.0,76.0,68.0,80.0,73.0,84.0,66.0,88.0
241,A. Robertson,24,Scotland,82,Liverpool,24.5,1,3.0,155.0,63.0,86.0,57.0,63.0,76.0,32.0,76.0,68.0,78.0,81.0,78.0,67.0,59.0,89.0,66.0,60.0,78.0,66.0,74.0,55.0
242,Dani García,28,Spain,82,Athletic Club de Bilbao,20.0,0,16.0,155.0,79.0,55.0,51.0,46.0,86.0,52.0,66.0,81.0,81.0,53.0,67.0,74.0,65.0,88.0,75.0,58.0,88.0,60.0,76.0,58.0
243,F. Bernardeschi,24,Italy,82,Juventus,29.5,1,20.0,185.0,77.0,82.0,70.0,50.0,82.0,74.0,86.0,72.0,87.0,83.0,85.0,82.0,49.0,80.0,63.0,82.0,52.0,78.0,80.0,72.0
244,J. Brandt,22,Germany,82,Bayer 04 Leverkusen,30.5,0,10.0,185.0,83.0,77.0,78.0,42.0,82.0,66.0,87.0,69.0,85.0,78.0,82.0,80.0,63.0,73.0,69.0,78.0,42.0,78.0,83.0,54.0
245,D. Rugani,23,Italy,82,Juventus,24.5,0,15.0,192.0,83.0,40.0,33.0,80.0,65.0,35.0,64.0,59.0,65.0,56.0,59.0,58.0,81.0,67.0,79.0,39.0,72.0,28.0,50.0,36.0
246,Samu Castillejo,23,Spain,82,Milan,29.0,1,7.0,182.0,67.0,81.0,77.0,43.0,80.0,58.0,85.0,77.0,83.0,85.0,83.0,78.0,63.0,55.0,50.0,73.0,48.0,81.0,81.0,59.0
247,João Cancelo,24,Portugal,82,Juventus,25.5,0,2.0,182.0,73.0,85.0,58.0,64.0,78.0,62.0,84.0,75.0,83.0,91.0,78.0,80.0,73.0,89.0,66.0,66.0,73.0,78.0,74.0,46.0
248,A. Romagnoli,23,Italy,82,Milan,26.5,1,13.0,188.0,78.0,36.0,30.0,76.0,70.0,28.0,65.0,69.0,69.0,63.0,60.0,64.0,78.0,75.0,81.0,46.0,84.0,31.0,40.0,34.0
249,T. Partey,25,Ghana,82,Atlético Madrid,25.5,0,5.0,185.0,77.0,58.0,63.0,68.0,85.0,53.0,78.0,79.0,81.0,73.0,72.0,79.0,84.0,87.0,81.0,75.0,76.0,60.0,73.0,46.0
250,Fred,25,Brazil,82,Manchester United,26.5,1,17.0,173.0,63.0,67.0,74.0,55.0,85.0,70.0,79.0,80.0,86.0,77.0,84.0,76.0,83.0,87.0,61.0,76.0,73.0,69.0,76.0,65.0
251,J. Vardy,31,England,82,Leicester City,20.0,0,9.0,155.0,73.0,64.0,85.0,69.0,65.0,82.0,76.0,48.0,76.0,89.0,75.0,85.0,76.0,86.0,67.0,67.0,92.0,85.0,72.0,81.0
252,A. Belotti,24,Italy,82,Torino,30.0,0,9.0,155.0,72.0,42.0,88.0,84.0,68.0,80.0,78.0,42.0,75.0,78.0,79.0,81.0,83.0,83.0,84.0,67.0,83.0,85.0,61.0,77.0
253,E. Forsberg,26,Sweden,82,RB Leipzig,26.0,0,10.0,155.0,73.0,84.0,70.0,45.0,85.0,67.0,82.0,69.0,87.0,76.0,81.0,73.0,53.0,74.0,62.0,74.0,62.0,75.0,83.0,66.0
254,J. Lingard,25,England,82,Manchester United,26.5,0,7.0,179.0,62.0,74.0,78.0,64.0,78.0,70.0,83.0,66.0,83.0,84.0,86.0,80.0,63.0,87.0,53.0,80.0,73.0,86.0,82.0,65.0
255,F. Vázquez,29,Argentina,82,Sevilla FC,21.5,1,22.0,185.0,82.0,73.0,74.0,68.0,84.0,81.0,86.0,78.0,87.0,58.0,69.0,76.0,44.0,61.0,79.0,84.0,78.0,77.0,84.0,67.0
256,E. Višća,28,Bosnia Herzegovina,82,Medipol Başakşehir FK,22.5,0,7.0,176.0,63.0,80.0,80.0,45.0,78.0,74.0,82.0,69.0,82.0,90.0,93.0,79.0,69.0,84.0,58.0,77.0,47.0,80.0,73.0,75.0
257,A. Rüdiger,25,Germany,82,Chelsea,22.5,0,16.0,192.0,84.0,68.0,27.0,80.0,75.0,34.0,59.0,72.0,69.0,67.0,59.0,70.0,73.0,60.0,82.0,41.0,88.0,33.0,57.0,40.0
258,A. Florenzi,27,Italy,82,Roma,20.5,0,16.0,176.0,67.0,77.0,70.0,72.0,77.0,87.0,78.0,75.0,79.0,86.0,87.0,82.0,74.0,90.0,67.0,82.0,79.0,82.0,76.0,76.0
259,H. Maguire,25,England,82,Leicester City,23.5,0,6.0,195.0,99.0,44.0,43.0,87.0,77.0,41.0,70.0,72.0,76.0,39.0,52.0,68.0,74.0,68.0,89.0,45.0,84.0,60.0,60.0,44.0
260,T. Meunier,26,Belgium,82,Paris Saint-Germain,21.0,0,15.0,192.0,89.0,83.0,76.0,75.0,82.0,79.0,75.0,74.0,82.0,74.0,63.0,77.0,72.0,92.0,85.0,78.0,73.0,80.0,71.0,65.0
261,S. Sané,27,Senegal,82,FC Schalke 04,18.5,0,26.0,198.0,84.0,57.0,38.0,88.0,73.0,26.0,64.0,71.0,70.0,62.0,60.0,77.0,47.0,69.0,88.0,55.0,84.0,48.0,62.0,43.0
262,G. Kondogbia,25,Central African Rep.,82,Valencia CF,27.5,1,6.0,188.0,79.0,65.0,69.0,75.0,81.0,59.0,78.0,79.0,82.0,69.0,76.0,86.0,83.0,85.0,91.0,80.0,86.0,78.0,78.0,45.0
263,Rafinha,25,Brazil,82,FC Barcelona,29.5,1,12.0,179.0,71.0,72.0,73.0,55.0,86.0,76.0,87.0,76.0,84.0,71.0,80.0,79.0,73.0,67.0,66.0,82.0,44.0,77.0,81.0,67.0
264,Gabriel Paulista,27,Brazil,82,Valencia CF,21.0,0,5.0,188.0,78.0,67.0,42.0,81.0,74.0,48.0,60.0,69.0,69.0,71.0,69.0,61.0,83.0,72.0,82.0,50.0,82.0,51.0,65.0,51.0
265,Morata,25,Spain,82,Chelsea,28.5,0,7.0,188.0,84.0,73.0,80.0,86.0,78.0,80.0,83.0,51.0,82.0,76.0,66.0,80.0,84.0,68.0,78.0,72.0,56.0,85.0,76.0,70.0
266,J. Cillessen,29,Netherlands,82,FC Barcelona,18.0,0,1.0,185.0,83.0,17.0,10.0,12.0,47.0,19.0,12.0,33.0,32.0,54.0,48.0,35.0,71.0,40.0,67.0,15.0,25.0,11.0,60.0,21.0
267,W. Ben Yedder,27,France,82,Sevilla FC,23.5,0,9.0,173.0,68.0,74.0,84.0,74.0,78.0,78.0,84.0,66.0,83.0,87.0,91.0,79.0,81.0,69.0,60.0,69.0,55.0,87.0,79.0,76.0
268,C. Bakambu,27,DR Congo,82,Beijing Sinobo Guoan FC,26.0,0,17.0,182.0,73.0,74.0,84.0,71.0,75.0,80.0,80.0,66.0,82.0,88.0,80.0,84.0,79.0,79.0,76.0,74.0,72.0,85.0,73.0,69.0
269,Pablo Sarabia,26,Spain,82,Sevilla FC,26.0,1,17.0,179.0,69.0,86.0,78.0,61.0,83.0,64.0,86.0,77.0,84.0,75.0,80.0,76.0,40.0,72.0,58.0,77.0,46.0,79.0,84.0,69.0
270,W. Zaha,25,Ivory Coast,82,Crystal Palace,28.5,0,11.0,155.0,66.0,81.0,77.0,47.0,75.0,61.0,90.0,65.0,87.0,89.0,88.0,78.0,57.0,76.0,75.0,68.0,73.0,78.0,77.0,66.0
271,Luis Alberto,25,Spain,82,Lazio,28.5,0,10.0,182.0,73.0,76.0,80.0,49.0,88.0,76.0,86.0,87.0,88.0,77.0,79.0,77.0,54.0,73.0,67.0,77.0,29.0,81.0,87.0,56.0
272,Jonathan Viera,28,Spain,82,Beijing Sinobo Guoan FC,22.5,0,23.0,173.0,63.0,75.0,78.0,41.0,84.0,65.0,84.0,78.0,82.0,86.0,89.0,70.0,88.0,79.0,67.0,79.0,56.0,72.0,84.0,74.0
273,Bartra,27,Spain,82,Real Betis,21.0,0,5.0,182.0,73.0,55.0,55.0,82.0,79.0,43.0,70.0,78.0,80.0,75.0,72.0,66.0,89.0,67.0,71.0,62.0,80.0,61.0,75.0,52.0
274,S. Coates,27,Uruguay,82,Sporting CP,21.0,0,4.0,198.0,92.0,17.0,42.0,80.0,72.0,39.0,64.0,70.0,62.0,46.0,32.0,50.0,54.0,81.0,94.0,30.0,83.0,49.0,50.0,65.0
275,Willian José,26,Brazil,82,Real Sociedad,26.5,0,12.0,188.0,92.0,54.0,84.0,84.0,78.0,80.0,79.0,50.0,80.0,62.0,65.0,84.0,72.0,73.0,90.0,77.0,65.0,87.0,68.0,80.0
276,Mário Fernandes,27,Russia,82,PFC CSKA Moscow,18.5,0,6.0,188.0,79.0,76.0,56.0,76.0,78.0,52.0,77.0,74.0,79.0,79.0,79.0,71.0,84.0,87.0,75.0,58.0,77.0,76.0,73.0,53.0
277,Víctor Ruiz,29,Spain,82,Villarreal CF,19.5,1,6.0,185.0,78.0,54.0,37.0,77.0,74.0,39.0,53.0,70.0,71.0,55.0,56.0,59.0,78.0,72.0,87.0,38.0,82.0,39.0,56.0,46.0
278,T. Delaney,26,Denmark,82,Borussia Dortmund,21.5,1,8.0,182.0,78.0,67.0,72.0,83.0,79.0,66.0,73.0,77.0,77.0,76.0,73.0,78.0,91.0,90.0,79.0,74.0,84.0,75.0,77.0,60.0
279,K. Casteels,26,Belgium,82,VfL Wolfsburg,19.5,1,13.0,201.0,86.0,15.0,15.0,14.0,35.0,13.0,14.0,37.0,23.0,44.0,50.0,21.0,58.0,44.0,72.0,18.0,33.0,15.0,42.0,20.0
280,M. Götze,26,Germany,82,Borussia Dortmund,27.0,0,10.0,179.0,74.0,78.0,75.0,51.0,87.0,86.0,84.0,82.0,90.0,74.0,86.0,68.0,58.0,73.0,68.0,66.0,58.0,81.0,86.0,77.0
281,S. Mustafi,26,Germany,82,Arsenal,22.5,0,20.0,182.0,82.0,53.0,58.0,81.0,77.0,51.0,53.0,69.0,70.0,58.0,63.0,66.0,83.0,68.0,78.0,52.0,82.0,50.0,55.0,54.0
282,J. Pastore,29,Argentina,82,Roma,21.5,0,27.0,188.0,78.0,77.0,73.0,61.0,86.0,78.0,87.0,83.0,86.0,69.0,79.0,78.0,49.0,62.0,64.0,76.0,65.0,78.0,87.0,75.0
283,Pedro,30,Spain,82,Chelsea,21.0,0,11.0,173.0,64.0,78.0,78.0,55.0,80.0,70.0,84.0,71.0,85.0,79.0,82.0,77.0,66.0,70.0,47.0,79.0,56.0,82.0,77.0,66.0
284,G. Bonaventura,28,Italy,82,Milan,22.0,0,5.0,155.0,74.0,82.0,70.0,70.0,84.0,78.0,83.0,80.0,85.0,75.0,77.0,84.0,69.0,84.0,66.0,86.0,68.0,78.0,82.0,68.0
285,R. Bürki,27,Switzerland,82,Borussia Dortmund,18.5,0,21.0,188.0,84.0,15.0,8.0,17.0,37.0,13.0,12.0,24.0,23.0,44.0,49.0,22.0,74.0,36.0,74.0,14.0,35.0,10.0,50.0,20.0
286,Taison,30,Brazil,82,Shakhtar Donetsk,21.0,0,7.0,176.0,63.0,73.0,76.0,56.0,77.0,82.0,87.0,75.0,85.0,93.0,90.0,83.0,62.0,79.0,62.0,83.0,56.0,74.0,79.0,72.0
287,S. Nzonzi,29,France,82,Roma,17.0,0,15.0,198.0,74.0,59.0,64.0,79.0,79.0,55.0,72.0,77.0,81.0,44.0,36.0,79.0,75.0,86.0,92.0,66.0,87.0,70.0,77.0,57.0
288,Marlos,30,Ukraine,82,Shakhtar Donetsk,21.0,1,11.0,179.0,68.0,76.0,79.0,53.0,81.0,68.0,87.0,73.0,88.0,85.0,92.0,77.0,68.0,78.0,62.0,78.0,58.0,77.0,82.0,80.0
289,A. Ramsey,27,Wales,82,Arsenal,25.0,0,10.0,182.0,76.0,75.0,74.0,58.0,84.0,79.0,81.0,80.0,82.0,64.0,73.0,81.0,66.0,89.0,67.0,74.0,73.0,84.0,79.0,75.0
290,K. Trippier,27,England,82,Tottenham Hotspur,18.5,0,12.0,155.0,72.0,91.0,48.0,73.0,79.0,54.0,75.0,78.0,80.0,76.0,74.0,75.0,73.0,88.0,65.0,70.0,70.0,75.0,80.0,66.0
291,A. Kolarov,32,Serbia,82,Roma,12.5,1,11.0,188.0,83.0,91.0,55.0,80.0,77.0,64.0,79.0,77.0,76.0,73.0,63.0,91.0,80.0,84.0,77.0,83.0,85.0,75.0,77.0,74.0
292,G. Sigurðsson,28,Iceland,82,Everton,22.5,0,10.0,185.0,82.0,86.0,77.0,60.0,84.0,75.0,80.0,80.0,85.0,58.0,68.0,83.0,68.0,86.0,68.0,86.0,57.0,79.0,86.0,79.0
293,S. Giovinco,31,Italy,82,Toronto FC,20.0,0,21.0,164.0,60.0,72.0,80.0,34.0,80.0,75.0,86.0,76.0,86.0,88.0,94.0,80.0,34.0,77.0,42.0,81.0,75.0,82.0,81.0,73.0
294,M. Arnautović,29,Austria,82,West Ham United,22.0,0,7.0,195.0,83.0,80.0,78.0,74.0,78.0,79.0,84.0,74.0,85.0,79.0,70.0,84.0,67.0,78.0,84.0,75.0,84.0,83.0,77.0,77.0
295,N. Gaitán,30,Argentina,82,Dalian YiFang FC,21.0,1,9.0,176.0,66.0,80.0,71.0,54.0,81.0,81.0,84.0,75.0,83.0,84.0,87.0,72.0,81.0,69.0,46.0,73.0,57.0,77.0,82.0,71.0
296,J. Henderson,28,England,82,Liverpool,18.0,0,8.0,182.0,79.0,81.0,67.0,65.0,84.0,72.0,73.0,84.0,80.0,67.0,70.0,77.0,79.0,91.0,72.0,71.0,77.0,75.0,83.0,64.0
297,M. Kruse,30,Germany,82,SV Werder Bremen,21.5,1,10.0,155.0,76.0,81.0,83.0,63.0,84.0,80.0,82.0,80.0,85.0,69.0,74.0,81.0,65.0,71.0,72.0,79.0,63.0,85.0,83.0,90.0
298,M. Parolo,33,Italy,82,Lazio,9.0,0,16.0,182.0,74.0,70.0,70.0,75.0,80.0,76.0,75.0,83.0,79.0,68.0,67.0,87.0,77.0,88.0,77.0,86.0,80.0,82.0,78.0,45.0
299,L. Fejsa,29,Serbia,82,SL Benfica,17.0,0,5.0,182.0,79.0,50.0,49.0,73.0,78.0,53.0,68.0,74.0,72.0,52.0,57.0,73.0,73.0,90.0,78.0,62.0,91.0,50.0,63.0,56.0
300,A. Rami,32,France,82,Olympique de Marseille,12.5,0,23.0,192.0,89.0,36.0,45.0,77.0,66.0,45.0,56.0,68.0,68.0,52.0,54.0,77.0,76.0,84.0,91.0,58.0,83.0,24.0,44.0,48.0
301,V. Ćorluka,32,Croatia,82,Lokomotiv Moscow,12.5,0,14.0,195.0,83.0,68.0,44.0,83.0,70.0,38.0,65.0,72.0,73.0,49.0,57.0,64.0,81.0,80.0,86.0,50.0,81.0,45.0,60.0,49.0
302,G. Wijnaldum,27,Netherlands,82,Liverpool,23.0,0,8.0,179.0,68.0,67.0,70.0,72.0,84.0,73.0,84.0,76.0,84.0,77.0,80.0,76.0,80.0,85.0,72.0,71.0,64.0,79.0,78.0,74.0
303,F. Fazio,31,Argentina,82,Roma,15.0,0,20.0,198.0,84.0,44.0,41.0,89.0,64.0,35.0,48.0,62.0,72.0,36.0,29.0,63.0,41.0,74.0,91.0,26.0,84.0,32.0,47.0,26.0
304,O. Giroud,31,France,82,Chelsea,20.0,1,9.0,195.0,92.0,64.0,83.0,90.0,79.0,82.0,70.0,58.0,83.0,43.0,57.0,85.0,84.0,62.0,88.0,74.0,76.0,83.0,76.0,83.0
305,Marcano,31,Spain,82,Roma,15.0,1,15.0,188.0,77.0,49.0,43.0,83.0,76.0,34.0,54.0,67.0,67.0,67.0,58.0,65.0,91.0,78.0,77.0,42.0,82.0,30.0,48.0,45.0
306,A. Guardado,31,Mexico,82,Real Betis,19.0,1,18.0,173.0,67.0,73.0,60.0,55.0,85.0,69.0,80.0,83.0,84.0,74.0,81.0,74.0,74.0,84.0,57.0,72.0,72.0,70.0,83.0,70.0
